Classification,City,Population,Timezone,Area Code(s),Zip
P.O. Box,Orange,,Pacific,714/657,92857
P.O. Box,Orange,,Pacific,714/657,92859
General,Villa Park,5781,Pacific,714,92861
General,Orange,,Pacific,714,92862
P.O. Box,Orange,,Pacific,714/657,92863
P.O. Box,Orange,,Pacific,714/657,92864
General,Orange,19704,Pacific,714,92865
General,Orange,14885,Pacific,714/657,92866
General,Orange,44515,Pacific,657/714,92867
General,Orange,25404,Pacific,714/657/949,92868
General,Orange,37184,Pacific,714,92869
General,Placentia,52033,Pacific,714/657,92870
P.O. Box,Placentia,,Pacific,714/657,92871
P.O. Box,Yorba Linda,,Pacific,714/657,92885
General,Yorba Linda,46564,Pacific,714/657,92886
General,Yorba Linda,20006,Pacific,714/657,92887
General,Anaheim,,Pacific,714/562/949,92899
